Symbol,Name,Type,Status,ZoneFormed,ZoneAgeM,LTP,TodayLow,Proximal,Distal,GapPct
360ONE,360 ONE WAM LIMITED,SUPPLY,IN_ZONE,2025-01,19,1172.9000244140625,1163.0,1096.2291460101105,1290.0109448732665,0.0
3MINDIA,3M India Limited,SUPPLY,IN_ZONE,2026-03,5,36105.0,35870.0,33997.6328125,37487.09942436396,0.0
AARTIPHARM,Aarti Pharmalabs Limited,DEMAND,IN_ZONE,2025-05,15,692.0999755859375,689.5499877929688,745.6475219726562,571.687980097061,0.0
ABB,ABB India Limited,SUPPLY,IN_ZONE,2025-01,19,7614.0,7580.0,6749.8134765625,7772.940618000919,0.0
ADVENZYMES,Advanced Enzyme Technologies Limited,SUPPLY,IN_ZONE,2025-02,18,326.5,326.5,322.6280822753906,402.57562895823986,0.0
AFFLE,Affle 3i Limited,SUPPLY,IN_ZONE,2026-01,7,1697.300048828125,1681.199951171875,1660.5,1805.0,0.0
AHLEAST,Asian Hotels (East) Limited,DEMAND,IN_ZONE,2024-09,23,142.5,141.6999969482422,141.99541175073068,121.7201050672907,0.0
ALKEM,Alkem Laboratories Limited,SUPPLY,IN_ZONE,2025-01,19,5591.5,5506.0,5526.03466796875,5844.812309456363,0.0
ALPA,Alpa Laboratories Limited,SUPPLY,IN_ZONE,2026-03,5,68.30000305175781,68.12000274658203,66.01000213623047,76.18000030517578,0.0
ANGELONE,Angel One Limited,SUPPLY,IN_ZONE,2025-01,19,291.29998779296875,291.1000061035156,273.53383467567966,337.5713829407825,0.0
APEX,Apex Frozen Foods Limited,DEMAND,IN_ZONE,2026-04,4,372.54998779296875,370.95001220703125,371.04998779296875,316.0,0.0
APOLLOPIPE,Apollo Pipes Limited,SUPPLY,IN_ZONE,2025-02,18,522.4500122070312,520.0,433.0477600097656,538.3190512865822,0.0
ARTEMISMED,Artemis Medicare Services Limited,SUPPLY,IN_ZONE,2025-02,18,315.20001220703125,312.0,313.7113037109375,348.7895967152651,0.0
ASIANPAINT,Asian Paints Limited,SUPPLY,IN_ZONE,2026-01,7,2713.199951171875,2709.0,2745.678466796875,2960.0187763517797,0.0
ASTRAL,Astral Limited,DEMAND,IN_ZONE,2026-02,6,1436.5999755859375,1435.0,1476.5999755859375,1332.9000244140625,0.0
AURUM,Aurum PropTech Limited,SUPPLY,IN_ZONE,2025-02,18,226.27000427246094,221.82000732421875,212.8000030517578,264.79998779296875,0.0
AUTOAXLES,Automotive Axles Limited,SUPPLY,IN_ZONE,2026-03,5,1817.699951171875,1810.0,1828.1779131870833,2078.8153236463377,0.0
BAJAJ-AUTO,Bajaj Auto Limited,SUPPLY,IN_ZONE,2024-10,22,11662.0,11574.0,10508.052755670393,12285.362561538223,0.0
BAJAJFINSV,Bajaj Finserv Limited,SUPPLY,IN_ZONE,2026-03,5,2002.5999755859375,2001.300048828125,1906.3732128614463,2108.201137172445,0.0
BAJAJHLDNG,Bajaj Holdings & Investment Limited,SUPPLY,IN_ZONE,2026-03,5,11369.0,11314.0,10430.39293335522,11700.60944738903,0.0
BALKRISIND,Balkrishna Industries Limited,SUPPLY,IN_ZONE,2025-08,12,2459.5,2430.0,2421.2381841021797,2777.9507177113082,0.0
BANKINDIA,Bank of India,DEMAND,IN_ZONE,2026-01,7,142.22000122070312,142.0,142.83418290918274,132.38550212826928,0.0
BAYERCROP,Bayer Cropscience Limited,DEMAND,IN_ZONE,2025-05,15,4197.5,4190.0,4925.615281470508,4052.542956535075,0.0
BEL,Bharat Electronics Limited,DEMAND,IN_ZONE,2026-01,7,399.54998779296875,398.3500061035156,426.1856451609873,378.83724126751684,0.0
BERGEPAINT,Berger Paints (I) Limited,SUPPLY,IN_ZONE,2026-01,7,531.25,530.9000244140625,508.26261280556344,590.094751424942,0.0
BLUESTARCO,Blue Star Limited,DEMAND,IN_ZONE,2024-09,23,1502.9000244140625,1501.0,1721.2002942317065,1468.611003027972,0.0
CANTABIL,Cantabil Retail India Limited,DEMAND,IN_ZONE,2024-12,20,226.75,225.1300048828125,250.75340694969418,209.63342139304467,0.0
CARTRADE,Cartrade Tech Limited,SUPPLY,IN_ZONE,2026-02,6,2791.5,2738.0,2649.300048828125,2962.0,0.0
CESC,CESC Limited,SUPPLY,IN_ZONE,2025-01,19,162.75,162.2899932861328,163.28883729010366,191.41943633872768,0.0
COFORGE,Coforge Limited,SUPPLY,IN_ZONE,2025-12,8,1781.0999755859375,1772.800048828125,1765.5871358787817,1918.9092483389322,0.0
CYIENTDLM,Cyient DLM Limited,SUPPLY,IN_ZONE,2025-01,19,683.7000122070312,658.9500122070312,644.25,744.25,0.0
DGCONTENT,Digicontent Limited,DEMAND,IN_ZONE,2026-04,4,25.799999237060547,25.100000381469727,27.649999618530273,21.610000610351562,0.0
DLINKINDIA,D-Link (India) Limited,SUPPLY,IN_ZONE,2025-02,18,442.0,438.0,441.927001953125,535.3869856838605,0.0
DWARKESH,Dwarikesh Sugar Industries Limited,DEMAND,IN_ZONE,2026-03,5,40.7400016784668,40.25,40.872154578500606,32.045448076776864,0.0
ESAFSFB,ESAF Small Finance Bank Limited,SUPPLY,IN_ZONE,2025-02,18,41.900001525878906,41.29999923706055,37.0,42.9900016784668,0.0
FAZE3Q,Faze Three Limited,SUPPLY,IN_ZONE,2025-08,12,574.0499877929688,535.3499755859375,551.9000244140625,747.9500122070312,0.0
FINEORG,Fine Organic Industries Limited,SUPPLY,IN_ZONE,2024-12,20,5115.0,4980.0,4833.160880801572,5316.427399274261,0.0
GENESYS,Genesys International Corporation Limited,SUPPLY,IN_ZONE,2026-07,1,225.64999389648438,221.85000610351562,220.0,377.0,0.0
GENCON,Generic Engineering Construction and Projects Limited,SUPPLY,IN_ZONE,2025-02,18,39.560001373291016,39.16999816894531,38.7400016784668,53.5,0.0
GMDCLTD,Gujarat Mineral Development Corporation Limited,DEMAND,IN_ZONE,2026-04,4,583.4500122070312,580.2999877929688,598.9500122070312,513.0,0.0
GODREJAGRO,Godrej Agrovet Limited,DEMAND,IN_ZONE,2026-02,6,543.9000244140625,543.5,583.9530525313685,496.4533186222811,0.0
GODREJPROP,Godrej Properties Limited,SUPPLY,IN_ZONE,2026-01,7,2088.60009765625,2074.10009765625,1994.7579345703125,2318.7916673720206,0.0
GPTHEALTH,GPT Healthcare Limited,SUPPLY,IN_ZONE,2025-02,18,161.83999633789062,161.61000061035156,162.080078125,182.3084216703246,0.0
GRAPHITE,Graphite India Limited,SUPPLY,IN_ZONE,2026-06,2,718.5499877929688,716.2000122070312,699.421875,793.687103271785,0.0
GRINDWELL,Grindwell Norton Limited,SUPPLY,IN_ZONE,2025-02,18,2149.60009765625,2091.10009765625,1883.1180419921875,2260.5949266651182,0.0
GREENLAM,Greenlam Industries Limited,SUPPLY,IN_ZONE,2025-02,18,270.29998779296875,265.6000061035156,275.40362548828125,310.9878271746622,0.0
GUJAPOLLO,Gujarat Apollo Industries Limited,DEMAND,IN_ZONE,2025-07,13,370.0,363.5,383.1059875488281,322.25123214878926,0.0
GUJRAFFIA,Gujarat Raffia Industries Limited,DEMAND,IN_ZONE,2025-10,10,40.70000076293945,40.099998474121094,40.5099983215332,35.45000076293945,0.0
HATSUN,Hatsun Agro Product Limited,DEMAND,IN_ZONE,2025-10,10,940.0499877929688,912.0,943.8321966947736,866.8463842662793,0.0
HDFCAMC,HDFC Asset Management Company Limited,SUPPLY,IN_ZONE,2026-03,5,2536.5,2521.199951171875,2416.055620518853,2839.3965094992277,0.0
HESTERBIO,Hester Biosciences Limited,SUPPLY,IN_ZONE,2025-01,19,2428.0,2428.0,2380.772216796875,2663.609111203456,0.0
